Date,Rainfall ,MinT,MaxT,Env,backup
4/3/17,0,16,33.4,Meiso,33.4
4/4/17,0,17,33.5,Meiso,33.5
4/5/17,0,16.5,32,Meiso,32
4/6/17,0,15,32.5,Meiso,32.5
4/7/17,0,20,31.5,Meiso,31.5
4/8/17,0,17.5,33,Meiso,33
4/9/17,0,14.5,34.1,Meiso,34.1
4/10/17,0,14,34,Meiso,34
4/11/17,0,16.6,34,Meiso,34
4/12/17,0,15.6,34.5,Meiso,34.5
4/13/17,0,16.5,35.2,Meiso,35.2
4/14/17,0,18.5,36.1,Meiso,36.1
4/15/17,0,17.5,35.5,Meiso,35.5
4/16/17,0,19,34.2,Meiso,34.2
4/17/17,0,14.2,34.5,Meiso,34.5
4/18/17,0,16.3,31,Meiso,31
4/19/17,1.1,15.9,30,Meiso,30
4/20/17,8.2,15.6,32.2,Meiso,32.2
4/21/17,0,15.7,34.1,Meiso,34.1
4/22/17,0,18.8,34.6,Meiso,34.6
4/23/17,0,15.7,36.5,Meiso,36.5
4/24/17,0,15.6,35.5,Meiso,35.5
4/25/17,0,16.4,36,Meiso,36
4/26/17,0,18,35,Meiso,35
4/27/17,0,19,31.6,Meiso,31.6
4/28/17,5.8,18.6,29,Meiso,29
4/29/17,0.7,18.4,29.5,Meiso,29.5
4/30/17,0,17.2,33.4,Meiso,33.4
5/1/17,0,18.5,33,Meiso,33
5/2/17,0,21.5,30,Meiso,30
5/3/17,0,20,32.6,Meiso,32.6
5/4/17,3,20.5,31,Meiso,31
5/5/17,0,17.2,32.6,Meiso,32.6
5/6/17,3.8,17.7,32.5,Meiso,32.5
5/7/17,15.6,17.7,33,Meiso,33
5/8/17,33,18.6,31,Meiso,31
5/9/17,0,17,32,Meiso,32
5/10/17,3.4,18.2,33,Meiso,33
5/11/17,0,18,34.2,Meiso,34.2
5/12/17,7.1,17.6,33,Meiso,33
5/13/17,1.9,18.6,32,Meiso,32
5/14/17,2.9,17.3,30.5,Meiso,30.5
5/15/17,3.1,17,28,Meiso,28
5/16/17,8.7,17.9,31,Meiso,31
5/17/17,0,18,27.8,Meiso,27.8
5/18/17,0,16.7,33,Meiso,33
5/19/17,0,18.5,30.5,Meiso,30.5
5/20/17,5.6,18.4,36.6,Meiso,36.6
5/21/17,0,18.2,32,Meiso,32
5/22/17,12.5,19.6,33.5,Meiso,33.5
5/23/17,8,18.1,32,Meiso,32
5/24/17,0,17.2,31.2,Meiso,31.2
5/25/17,0,18.1,31.5,Meiso,31.5
5/26/17,0,16,32,Meiso,32
5/27/17,3,17.6,33,Meiso,33
5/28/17,2.9,17.5,32,Meiso,32
5/29/17,0,18.5,32,Meiso,32
5/30/17,0,18.5,33,Meiso,33
5/31/17,0,19,32.5,Meiso,32.5
6/1/17,0,20.2,35.5,Meiso,35.5
6/2/17,0,19.8,35,Meiso,35
6/3/17,0,18.8,35.5,Meiso,35.5
6/4/17,4.4,18.4,35.5,Meiso,35.5
6/5/17,5.8,19.3,34.4,Meiso,34.4
6/6/17,1.7,19.3,35.1,Meiso,35.1
6/7/17,1,19.3,35.1,Meiso,35.1
6/8/17,8.4,19.3,34.5,Meiso,34.5
6/9/17,3.8,19.3,34.5,Meiso,34.5
6/10/17,0.1,19.3,33.6,Meiso,33.6
6/11/17,4.4,19.3,33.6,Meiso,33.6
6/12/17,0,19.2,32.7,Meiso,32.7
6/13/17,0,19.2,32.2,Meiso,32.2
6/14/17,0,19.2,33.3,Meiso,33.3
6/15/17,0,19.3,33.3,Meiso,33.3
6/16/17,7.4,19.3,33.5,Meiso,33.5
6/17/17,0,19.3,33.9,Meiso,33.9
6/18/17,7.5,19.3,34.4,Meiso,34.4
6/19/17,3.3,19.2,36.3,Meiso,36.3
6/20/17,8.8,19.2,35.8,Meiso,35.8
6/21/17,3.2,19.2,36.3,Meiso,36.3
6/22/17,1.9,19.2,36.1,Meiso,36.1
6/23/17,13.2,19.2,36.4,Meiso,36.4
6/24/17,5.6,19.2,35.5,Meiso,35.5
6/25/17,0,19.2,34.9,Meiso,34.9
6/26/17,0,19.2,33.9,Meiso,33.9
6/27/17,26.2,19.2,34.2,Meiso,34.2
6/28/17,11.5,19.2,32.6,Meiso,32.6
6/29/17,0,19.2,33.9,Meiso,33.9
6/30/17,17.5,19.2,31.2,Meiso,31.2
7/1/17,0,18.3,30.9,Meiso,30.9
7/2/17,0.7,19.2,34.4,Meiso,34.4
7/3/17,0.2,19.2,35.9,Meiso,35.9
7/4/17,3.8,19,35.7,Meiso,35.7
7/5/17,4.3,18.5,34.5,Meiso,34.5
7/6/17,0,17.3,33.9,Meiso,33.9
7/7/17,0,18.3,31.5,Meiso,31.5
7/8/17,0,19.5,34.2,Meiso,34.2
7/9/17,0,20.2,33.5,Meiso,33.5
7/10/17,0,19,31.9,Meiso,31.9
7/11/17,0,20.2,32.3,Meiso,32.3
7/12/17,17,19.2,30.9,Meiso,30.9
7/13/17,0,17.6,27.8,Meiso,27.8
7/14/17,0,18.1,32.1,Meiso,32.1
7/15/17,0,18.9,29.8,Meiso,29.8
7/16/17,0,18.6,29.4,Meiso,29.4
7/17/17,0,16.2,28.7,Meiso,28.7
7/18/17,0,16.9,30.3,Meiso,30.3
7/19/17,3.4,16.5,29.2,Meiso,29.2
7/20/17,12.3,16.7,29.1,Meiso,29.1
7/21/17,1.3,16.5,29.8,Meiso,29.8
7/22/17,10.6,17.9,31.1,Meiso,31.1
7/23/17,0,17.8,29.4,Meiso,29.4
7/24/17,0,18.3,29.8,Meiso,29.8
7/25/17,0,18.2,29.2,Meiso,29.2
7/26/17,0,18.4,29.8,Meiso,29.8
7/27/17,0,17.5,29.3,Meiso,29.3
7/28/17,0,16.8,27.4,Meiso,27.4
7/29/17,0,16.4,25.8,Meiso,25.8
7/30/17,0,15.8,26.1,Meiso,26.1
7/31/17,1.9,15.6,30.4,Meiso,30.4
8/1/17,4.7,15.8,30.3,Meiso,30.3
8/2/17,0,17,29.8,Meiso,29.8
8/3/17,0,16,31.1,Meiso,31.1
8/4/17,0,17.4,30.6,Meiso,30.6
8/5/17,0.6,17.8,32.3,Meiso,32.3
8/6/17,0,18,31.1,Meiso,31.1
8/7/17,0,18.8,29.9,Meiso,29.9
8/8/17,0,19.5,31.6,Meiso,31.6
8/9/17,3.6,19.9,31.7,Meiso,31.7
8/10/17,0,18.6,31,Meiso,31
8/11/17,8.3,18.9,33.1,Meiso,33.1
8/12/17,0,20.2,34.9,Meiso,34.9
8/13/17,3.4,19.3,35,Meiso,35
